Time,BUS10Va,BUS10Vb,BUS10Vc,L4Ia_FLT,L4Ib_FLT,L4Ic_FLT
0.013989545,-10824.37988,16946.01953,3901.04834,-0.01180154,0.016972195,0.004033998
0.014039545,-10976.45898,16764.24023,4194.800781,-0.011946055,0.016783336,0.004336096
0.014089545,-11125.44141,16578.10547,4487.435547,-0.012088718,0.016588286,0.004636059
0.014139545,-11271.42481,16387.23242,4778.929688,-0.012229795,0.016386816,0.004933584
0.014189545,-11414.5127,16191.25879,5069.266113,-0.01236943,0.016178841,0.005228461
0.014239545,-11554.7959,15989.86914,5358.431641,-0.012507634,0.015964422,0.005520592
0.014289545,-11692.34668,15782.81348,5646.411621,-0.012644274,0.015743775,0.005809991
0.014339545,-11827.20703,15569.91992,5933.189941,-0.012779085,0.015517261,0.006096778
0.014389545,-11959.38965,15351.10547,6218.740234,-0.012911689,0.015285353,0.006381165
0.014439545,-12088.87402,15126.38184,6503.020996,-0.013041626,0.015048608,0.00666343
0.014489545,-12215.61328,14895.84766,6785.967285,-0.013168399,0.01480762,0.006943884
0.014539545,-12339.54199,14659.68164,7067.48584,-0.013291512,0.014562974,0.00722284
0.014589545,-12460.58106,14418.12598,7347.448242,-0.013410512,0.014315194,0.007500574
0.014639545,-12578.65527,14171.4707,7625.690918,-0.013525038,0.014064709,0.007777296
0.014689545,-12693.69531,13920.03711,7902.012695,-0.013634836,0.013811812,0.008053122
0.014739545,-12805.65234,13664.15332,8176.184082,-0.013739794,0.013556649,0.008328063
0.014789545,-12914.49805,13404.14941,8447.952148,-0.01383994,0.013299212,0.008602013
0.014839545,-13020.22754,13140.33301,8717.052734,-0.013935439,0.01303935,0.00887475
0.014889545,-13122.85938,12872.98828,8983.226563,-0.014026579,0.012776797,0.009145957
0.014939545,-13222.42871,12602.36523,9246.234375,-0.014113733,0.012511205,0.009415243
0.014989545,-13318.98242,12328.67871,9505.867188,-0.01419733,0.012242195,0.009682165
0.015039545,-13412.56836,12052.11035,9761.964844,-0.014277809,0.011969403,0.009946271
0.015089545,-13503.22949,11772.81152,10014.41895,-0.01435558,0.01169253,0.010207132
0.015139545,-13590.99609,11490.90332,10263.18359,-0.014430976,0.011411376,0.010464373
0.015189545,-13675.87402,11206.49121,10508.27051,-0.014504226,0.011125888,0.010717704
0.015239545,-13757.84766,10919.66504,10749.74707,-0.014575432,0.010836163,0.010966935
